92 News Live,plugin://plugin.video.youtube/play/?video_id=13qXVs4IZ4I
Andisheh,http://livestream.5centscdn.com/cls090117/49ead3a7c6432c5358a086d078110c16.sdp/index.m3u8
Ariana Afghan,http://iptv.arianaafgtv.com/ariana/playlist.m3u8
ATN Europe,https://d10rltuy0iweup.cloudfront.net/ATNINT/myStream/playlist.m3u8
ATN National,https://d10rltuy0iweup.cloudfront.net/ATNNAT/myStream/playlist.m3u8
ATN News,https://d10rltuy0iweup.cloudfront.net/ATNNEWS/myStream/playlist.m3u8
ATN USA,https://d2g7v53450s2i2.cloudfront.net/ATNUS/myStream/playlist.m3u8
Ayeneh TV,https://livestream.5centscdn.com/cls040318/b0d2763968fd0bdd2dc0d44ba2abf9ce.sdp/index.m3u8
Bahar TV,https://59d39900ebfb8.streamlock.net/bahartv/bahartv/playlist.m3u8
Caltex Music TV,https://vid1.caltexmusic.com/hls/caltextv.m3u8
Dubai One (English),http://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/media.m3u8
EBC1 TV,https://vsn1-cdn-phx.icastcenter.com/EBC1/EBC1/playlist.m3u8
Ganje Hozoor,http://topfi.ios.internapcdn.net/topfi/live_1/Test/Test.m3u8
Iman TV,https://59d39900ebfb8.streamlock.net/imantv/imantv/playlist.m3u8
Israel Pars TV,https://live.pars-israel.com/iptv/stream.m3u8
Kalemeh TV,http://184.75.208.98:1935/live/kalemeh/playlist.m3u8
Kayhan TV,http://208.93.117.113/live/Stream1/playlist.m3u8
Manoto TV,https://d2rwmwucnr0d10.cloudfront.net/live.m3u8
Mihan TV,http://iptv.mihantv.com/live/playlist.m3u8
Mohabat TV,http://media.mohabat.tv:1935/live_transcoder/ngrp:mohabat.stream_all/playlist.m3u8
MTC,http://mellitv.tulix.tv:1935/mellitv/myStream.sdp/playlist.m3u8
Omid Javedan,http://livestream.5centscdn.com/shaditv/23abe62a446fc05ce0a6c810f4045308.sdp/index.m3u8
Pamir TV,http://live.stream.cdn.pamirtv.com/ptv/d0dbe915091d400bd8ee7f27f0791303.sdp/index.m3u8
Parnian TV,https://live2.parnian.tv/hls/live/play.m3u8
ParsiLand TV,http://vps.parsiland.net/hls/ParsiLand.m3u8
Payvand TV,http://uni6rtmp.tulix.tv:1935/ucur1/Payvand/playlist.m3u8
Payame Afghan,http://g5nl6xx5lpq6-hls-live.5centscdn.com/live1234/2621b29e501b445fabf227b086123b70.sdp/mono.m3u8
Persian Bazar,http://stream.persiantv1.com/ptv1/playlist.m3u8
Radio Farda TV,https://rfe-lh.akamaihd.net/i/rfe_tvmc1@383622/master.m3u8
Radio Javan TV,https://stream.rjtv.tv/live/smil:rjtv.smil/playlist.m3u8
Shabakeh 7,http://rtmp.abnsat.com/hls/txministry.m3u8
Shamshad,https://54627d4fc5996.streamlock.net/shamshadtelevision/shamshadtelevision/playlist.m3u8
Simaye Azadi,https://sima-i.akamaihd.net/hls/live/624111/sima/index.m3u8
Tapesh,http://iptv.tapesh.tv/tapesh/playlist1/index.m3u8
TIN TV,https://unirtmp.tulix.tv/tintv/tintv/playlist.m3u8
Tuti Tv,https://rrsatrtmp.tulix.tv/livecdn827/myStream.sdp/playlist.m3u8
VOA Persian,https://voa-lh.akamaihd.net/i/voapnn_7@72817/master.m3u8
WATAN-E-MAA,http://cdn24.live247stream.com/watanemaa/tv/playlist.m3u8
